Name,MinPrice,MaxPrice
Sun Tung Lok,298,"1,200"
Écriture,988,"2,080"
Octavium,560,"1,888"
Ying Jee Club,498,"1,200"
Amber,798,"2,530"
Tin Lung Heen,"1,088","1,800"
Yan Toh Heen,498,"2,000"
Tate,"1,180","1,980"
Ta Vie,"2,580","2,580"
Arbor,688,"1,988"
Yu Zhi Lan,"1,200","2,000"
Sorn,"3,500","3,500"
Chef's Table,"7,900","7,900"
R-Haan,"1,219","2,912"
Mezzaluna,"6,500","6,500"
Sühring,"3,500","5,500"
Le Normandie,"3,200","8,200"
Casa de Chá da Boa Nova,110,210
Ocean,210,210
The Yeatman,180,180
Il Gallo d'Oro,130,200
Vila Joya,155,195
Belcanto,140,195
Alma,100,145
El Molino de Urdániz,120,140
Casa Marcial,90,180
Cabaña Buenavista,105,140
Maralba,56,96
BonAmb,90,160
Les Cols,155,155
M.B,135,165
Voro,110,140
Mugaritz,231,231
Culler de Pau,95,150
Bo.TiC,130,180
Miramar,150,195
Bardal,150,170
El Portal de Echaurren,150,165
L'Escaleta,85,145
Iván Cerdeño,55,145
Ramón Freixa Madrid,90,165
Coque,198,230
Smoked Room,185,185
DSTAgE,145,170
Paco Roncero,95,210
Atrio,195,195
Ricard Camarena,165,195
El Poblet,98,160
Noor,95,190
Amelia by Paulo Airaudo,170,170
Skina,165,189
Disfrutar,210,210
Cinc Sentits,119,139
Moments,150,189
Enoteca Paco Pérez,175,175
Cocina Hermanos Torres,96,195
Angle,185,185
BEIGE Alain Ducasse,"12,000","30,000"
Sushi Kanesaka,"19,000","37,000"
Jingumae Higuchi,"31,000","37,000"
Jushu,"19,000","25,000"
ASAHINA Gastronome,"15,000","28,000"
Daigo,"16,000","28,000"
HOMMAGE,"14,000","27,000"
PRISMA,"19,000","21,000"
Ginza Fukuju,"37,000","61,000"
Tempura Kondo,"9,000","24,000"
Higashiazabu Amamoto,"42,000","42,000"
LA TABLE de Joël Robuchon,"6,500","21,000"
Den,"23,000","23,000"
Seisoka,"8,500","43,000"
L'ATELIER de Joël Robuchon,"4,000","22,000"
Nabeno-Ism,"15,000","27,000"
Nihombashi-kakigaracho Sugita,"37,000","37,000"
Ryuzu,"6,500","31,000"
Crony,"19,000","19,000"
Florilège,"9,500","19,000"
Usukifugu Yamadaya,"29,000","41,000"
Kobikicho Tomoki,"38,000","43,000"
Seizan,"18,000","50,000"
Ginza Kojyu,"25,000","45,000"
Sukiyabashi Jiro Roppongiten,"25,000","39,000"
PIERRE GAGNAIRE,"9,000","38,000"
ESqUISSE,"13,000","31,000"
Akasaka Kikunoi,"14,000","37,000"
Sushi Kimura,"26,000","33,000"
NARISAWA,"25,000","43,000"
Ginza Shinohara,"33,000","33,000"
Kaiseki Tsujitome,"19,000","53,000"
Édition Koji Shimomura,"11,000","32,000"
Sawada,"28,000","38,000"
ZURRIOLA,"11,000","28,000"
Kaiseki Komuro,"19,000","73,000"
Kutan,"31,000","34,000"
Tentempura Uchitsu,"31,000","31,000"
Tempura Ginya,"21,000","21,000"
Kioicho Fukudaya,"20,000","53,000"
Harutaka,"30,000","45,000"
Kojima,"200,000","380,000"
alla Prima,"77,000","200,000"
Jungsik,"78,000","230,000"
Mosu,"140,000","270,000"
Kwonsooksoo,"105,000","240,000"
Joo Ok,"90,000","200,000"
Mingles,"120,000","220,000"
Agli Amici,100,140
daní maison,110,265
Castel finedining,178,208
La Peca,95,200
La Madia,120,170
La Trota,140,140
Villa Crespi,160,190
Taverna Estia,130,190
Caino,185,190
Quattro Passi,75,200
Antica Osteria Cera,70,250
L'Olivo,180,220
Krèsios,150,150
Don Alfonso 1890,160,190
Harry's Piccolo,130,200
Arnolfo,160,180
Duomo,65,198
La Madernassa,110,300
Miramonti l'Altro,90,150
Antica Corona Reale,100,150
D'O,110,180
Villa Feltrinelli,250,250
Bracali,150,250
Torre del Saracino,138,220
Piccolo Lago,180,180
Magnolia,120,140
Il Piccolo Principe,150,230
Gourmetstube Einhorn,130,165
San Domenico,60,190
Tre Olivi,90,130
Il Luogo di Aimo e Nadia,220,280
Seta by Antonio Guida,95,280
Terra,179,179
Santa Elisabetta,109,200
Madonnina del Pescatore,65,175
Il Pagliaccio,100,190
Glam Enrico Bartolini,140,210
Casa Perbellini,175,225
Spondi,120,165
Ji Pin Court,500,"1,000"
Da Vittorio,688,"2,888"
L'Atelier de Joël Robuchon,688,"1,798"
8 ½ Otto e Mezzo Bombana,698,"2,380"
Imperial Treasure Fine Chinese Cuisine (Huangpu),500,"1,000"
Canton 8 (Runan Street),300,500
Bao Li Xuan,328,"1,288"
Xin Rong Ji (Nanyang Road),"1,000","2,500"
Miyamoto,"19,000","19,000"
Shunsaiten Tsuchiya,"8,000","24,000"
Honkogetsu,"37,000","49,000"
KAHALA,"31,000","31,000"
Sushi Harasho,"17,000","17,000"
Tenjimbashi Aoki,"22,000","22,000"
La Cime,"28,000","28,000"
Sushiyoshi,"25,000","25,000"
Fujiya 1935,"16,000","28,000"
Numata,"22,000","22,000"
Koryu,"33,000","33,000"
Gion Matayoshi,"12,000","37,000"
Kappo Chihiro,"19,000","27,000"
Kyokaiseki Kichisen,"15,000","39,000"
Gion Maruyama,"11,000","64,000"
Yusokuryori Mankamero,"13,000","38,000"
Kenninji Gion Maruyama,"11,000","64,000"
Kodaiji Wakuden,"28,000","50,000"
Gion Nishikawa,"6,500","31,000"
Ogata,"50,000","60,000"
Kikunoi Roan,"9,000","32,000"
Sumibi Kappo Ifuki,"24,000","35,000"
Shimmonzen Yonemura,"10,000","21,000"
Miyamaso,"19,000","32,000"
Sojiki Nakahigashi,"9,000","26,000"
Otagi,"22,000","22,000"
Kyotenjin Noguchi,"30,000","35,000"
Wagokoro Izumi,"7,000","29,000"
Gion Owatari,"32,000","32,000"
Oryori Mitsuyasu,"26,000","26,000"
Harbor House,180,180
Vespertine,295,295
Providence,225,475
Sushi Ginza Onodera,300,300
Addison,175,275
Commis,189,189
Mélisse,295,295
Hayato,295,295
n/naka,245,285
Lazy Bear,199,221
Birdsong,255,255
Saison,248,306
Campton Place,65,167
Acquerello,150,250
Coi,250,250
Californios,223,223
Hiša Franko,225,225
Taian Table,"1,488","2,368"
Imperial Treasure Fine Chinese Cuisine,500,"1,000"
Jiang by Chef Fei,"1,000","1,280"
Oaxen Krog,"2,750","2,750"
Gastrologik,"2,100","2,100"
Aloë,"2,800","2,800"
Vollmers,"2,500","2,500"
RE-NAA,"2,900","2,900"
KOKS,"1,900","1,900"
Henne Kirkeby Kro,650,"1,495"
Kadeau Copenhagen,"2,500","2,500"
a|o|c,"2,500","2,500"
Jordnær,"2,700","2,700"
Kong Hans Kælder,"1,700","1,700"
Alchemist,"3,500","3,500"
Shoukouwa,320,650
Shisen Hanten,150,150
Saint Pierre,158,388
Waku Ghin,550,700
Jaan by Kirk Westaway,118,288
Shoun Ryugin,"4,500","6,500"
Logy,"3,750","3,750"
JL Studio,"3,800","3,800"
Sushi Amamoto,"6,000","6,000"
L'Atelier de Joël Robuchon,"1,680","6,880"
The Guest House,"3,080","4,880"
Taïrroir,"2,680","5,680"
Raw,"1,850","3,500"
The Modern,138,188
Blue Hill at Stone Barns,195,278
Ko,225,225
Atomix,36,325
Atera,285,285
Jean-Georges,148,248
Blanca,198,198
Jungsik,165,235
Gabriel Kreuther,90,245
Aska,295,295
L'Atelier de Joël Robuchon,145,235
Daniel,158,250
Aquavit,78,155
Oriole,285,285
Smyth,265,265
Ever,285,285
Moody Tongue,285,330
Jônt,305,305
Pineapple and Pearls,150,325
minibar,295,295
Sabero,85,139
't Nonnetje,75,165
De Lindenhof,125,150
Restaurant 212,119,188
Aan de Poel,79,149
De Treeswijkhoeve,95,170
Brut172,150,195
Ciel Bleu,205,595
Pure C,145,250
De Lindehof,105,175
Tribeca,85,195
FG - François Geurds,100,210
De Kromme Watergang,62,225
De Bokkedoorns,75,155
Fred,84,188
Spectrum,130,180
De Groene Lantaarn,65,145
Parkheuvel,49,170
Stucki - Tanja Grandits,88,240
Maison Wenger,125,275
Da Vittorio,250,450
focus ATELIER,225,265
Cà d'Oro,160,287
Ecco,185,240
Anne-Sophie Pic,270,395
Taverne zum Schäfli,89,220
Ecco St. Moritz,225,300
Einstein Gourmet,165,215
7132 Silver,275,275
Domaine de Châteauvieux,98,320
The Restaurant,112,298
Gasthaus Zur Fernsicht - Incantare,250,250
Magdalena,165,185
Memories,229,329
IGNIV by Andreas Caminada,220,280
Widder Restaurant,160,260
Adelboden,148,195
IGNIV by Andreas Caminada,158,248
Pavillon,205,275
Sens,145,195
RICO'S,66,260
Auberge du Cheval Blanc,82,145
La Table d'Olivier Nasti,165,240
La Table de l'Alpaga,130,190
Jean Sulpice,235,275
La Pyramide - Patrick Henriroux,79,204
Le Montgomerie,230,310
Serge Vieira,130,215
Racine,80,205
Sarkara,175,250
Au 14 Février,87,125
La Côte d'Or,165,255
La Maison des Bois - Marc Veyrat,295,395
Les Hauts de Loire,89,175
Michel Kayser - Restaurant Alexandre,102,223
La Table de Pavie,75,215
Le Kintessence,250,350
Le Parc Les Crayères,75,295
Maison Rostang,90,203
La Scène,75,250
Le Pré - Xavier Beaudiment,45,180
La Côte Saint-Jacques,85,238
Le Clarence,90,320
La Villa Archange,90,350
Paul Bocuse,195,295
Le Grand Restaurant - Jean-François Piège,136,346
Le Neuvième Art,120,190
Le Pressoir d'Argent - Gordon Ramsay,185,250
La Marine,130,220
Hostellerie Jérôme,139,185
Les Morainières,148,220
Relais de la Poste,70,150
Le Taillevent,90,250
L'Abysse au Pavillon Ledoyen,98,320
Anne de Bretagne,50,170
David Toutain,110,270
Château de Beaulieu - Christophe Dufossé,90,220
Le Puits St-Jacques,39,143
Les Cèdres,115,180
Takao Takano,50,160
Villa René Lalique,90,230
Restaurant Le Meurice Alain Ducasse,250,320
Le Chabichou by Stéphane Buron,195,345
JY'S,69,194
La Grenouillère,155,215
Casadelmar,190,270
La Table Lionel Giraud,80,145
La Fourchette des Ducs,155,245
Sur Mesure par Thierry Marx,85,195
Py-r,78,98
Marsan par Hélène Darroze,95,420
Le Gabriel - La Réserve Paris,75,195
La Palme d'Or,168,260
Jean-Luc Tartarin,48,135
Le Coquillage,95,165
L'Atelier d'Edmond,58,210
Yoann Conte,180,330
La Villa Madie,140,250
Le Skiff Club,170,210
Michel Sarran,65,180
Auberge de l'Ill,120,247
William Frachot,62,172
La Merise,79,157
L'Auberge des Glazicks,75,190
ex Maison Jeunet/Hôtel de Paris,65,155
Bras,170,245
La Voile - La Réserve Ramatuelle,160,210
La Table de Franck Putelat,75,230
La Chèvre d'Or,135,280
La Maison d'à Côté,57,218
Mère Brazier,90,300
La Grand'Vigne - Les Sources de Caudalie,165,205
Maison Aribert,115,195
Flaveur,100,200
Ma Langue Sourit,60,160
bon bon,235,245
De Jonkman,75,315
d'Eugénie à Emilie,85,170
L'Eau Vive,60,165
Hostellerie Le Fox,69,180
Nuance,75,215
La Durée,100,232
L'Air du Temps,95,210
Le Chalet de la Forêt,79,207
Bartholomeus,210,210
Vrijmoed,69,203
The Jane,230,230
Ralf Berendsen,130,245
La Table de Maxime,70,167
Comme chez Soi,69,298
Boury,100,160
Slagmolen,80,185
Hostellerie St-Nicolas,55,195
Castor,55,161
Pastorale,85,195
Château du Mylord,95,270
Cuchara,175,215
La Paix,105,235
D.O.M.,415,700
Ryo Gastronomia,160,650
Oteque,440,440
Oro,445,555
Speiseberg,100,100
Aska,95,120
PUR,105,185
Mühle,89,115
Pietsch,120,140
Traube,89,120
Iuma,98,153
Stadtpfeiffer,120,150
Schwingshackl ESSKULTUR Gourmet,75,125
Roter Hahn,45,160
Coeur D'Artichaut,100,160
Hummels Gourmetstube,75,85
VILLINO,106,158
Kulmeck by Tom Wickboldt,115,150
astrein,99,129
Weinschänke Schloss Groenesteyn,75,185
Werneckhof Sigi Schelling,75,160
Balthazar,119,159
Bricole,69,79
Votum,130,194
s'Äpfle,109,169
Shiraz,96,160
Alte Liebe,95,110
Irma la Douce,89,89
Troyka,135,135
OX,110,190
Michael's Leitenberg,79,149
L'étable,86,126
Petit Amour,169,190
"Gourmetrestaurant ""fine dining RS""",108,172
Gabelspiel,135,145
Acquarello,55,185
Clostermanns Le Gourmet,89,149
Camers Schlossrestaurant,130,150
Sartory,159,189
Gasthof Krone,66,108
Schwarz Gourmet,129,159
Keidenzeller Hof,75,120
Zeik,89,99
Carmelo Greco,93,120
5,95,179
Français,69,205
Genießer Stube,59,150
Gourmetrestaurant Dirk Maus,95,140
Schwarzer Hahn,115,164
Bachofer,40,158
Zur Krone,120,132
The O'ROOM,150,150
"Christian & Friends, Tastekitchen",95,95
Friedrich Franz,159,249
Nagaya,89,198
Richard,86,98
Merkles Restaurant,85,129
Seestern,85,169
Setzkasten,39,129
Agata's,109,139
Oettinger's Restaurant,88,127
Cordo,135,150
Kucher's Gourmet,85,119
Hirsch,58,125
Philipp,65,155
maiBeck,55,59
Haubentaucher,70,100
Da Vinci,129,158
Wielandshöhe,95,150
Adler,84,179
Haus Stemberg,42,105
1876 Daniel Dal-Ben,130,198
Malathounis,54,98
Zur Post,65,145
Burg Nideggen - Brockel Schlimbach,125,140
einsunternull,155,185
La Bécasse,39,118
Das Grace,105,140
Zeitwerk,120,140
PAVO im Burghotel Falkenstein,135,140
Alt Wyk,79,110
Gasthof zum Bad,72,136
Buchner Welchenberg 1658,72,149
L.A. Jordan,175,205
mural,155,155
Frieda,81,113
Goldener Anker,105,155
Atelier Sanssouci,89,139
Die Brasserie,36,109
Werners Restaurant,98,120
Masa Japanese Cuisine,120,140
La Cuisine Rademacher,75,115
maximilian lorenz,123,152
Marly,49,129
Le Jardin de France,45,115
Wullenwever,85,125
Schwitzer's am Park,99,189
KUNO 1408,89,126
taku,35,130
Gourmet Restaurant im Schlosshotel Münchhausen,130,190
Restaurant 1797,119,119
Le Gourmet,110,160
Oben,140,140
Mühlenhelle,52,139
Alte Schule - Klassenzimmer,110,160
The Stage,89,125
freustil,66,106
Hannappel,75,118
tulus lotrek,139,175
Bembergs Häuschen,119,187
Cheval Blanc,102,138
SIEDEPUNKT,59,135
Sterneck,85,195
Gasthaus Jakob,59,89
BODENDORF'S,178,218
Kin Dee,65,65
Balthasar,85,155
Maître im Landhaus Kuckuck,105,159
REISERS am Stein,39,125
Délice,115,135
Landhaus Feckl,53,112
Christian's Restaurant - Gasthof Grainer,65,125
GOLVET,99,129
La Société,109,179
Alfredo,83,83
Schwarzer Adler,122,125
Genuss-Apotheke,121,181
Gutshaus Stolpe,125,170
Elements,65,85
NeoBiota,95,155
SoulFood,67,79
Alte Pfarrey,85,137
Ente,65,180
Landhaus Scherrer,125,135
La Vallée Verte,78,255
Ratsstuben,79,148
ernst,225,225
Maerz - Das Restaurant,119,135
Silberdistel,99,298
ESS ATELIER STRAUSS,79,180
Cookies Cream,79,149
Sankt Benedikt,68,155
Laurentius,59,136
BECKER'S,105,125
Maltes hidden kitchen,79,109
Pottkind,90,140
Weinstock,91,91
Gut Lärchenhof,125,199
Mod by Sven Nöthel,69,115
Schote,122,189
Hämmerle's Restaurant - Barrique,88,108
Restaurant Villa Merton,95,145
