,restaurante,puntuacion
192,Tohru in der Schreiberei,"4,9"
193,Alex Dilling at Hotel Café Royal,"4,1"
194,Ynyshir,"4,8"
195,The Ledbury,"4,7"
196,Da Terra,"4,8"
197,A. Wong,"4,4"
198,"Le Manoir aux Quat' Saisons, a Belmond Hotel","4,8"
199,Hand and Flowers,"4,4"
200,Midsummer House,"4,7"
201,Restaurant Andrew Fairlie,"4,8"
202,Restaurant Sat Bains,"4,7"
203,Dinner by Heston Blumenthal,"4,6"
204,Patrick Guilbaud,"4,7"
205,Ikoyi,"4,5"
206,The Clove Club,"4,5"
207,Kitchen Table,"4,7"
208,Claude Bosi at Bibendum,"4,3"
209,Moor Hall,"4,8"
210,Liath,"4,8"
211,La Dame de Pic London,"4,6"
212,Story,"4,6"
213,Chapter One by Mickael Viljanen,"4,8"
214,La Villa Lorraine by Yves Mattagne,"4,6"
215,Colette - De Vijvers,"4,4"
216,La Durée,"4,7"
217,d'Eugénie à Emilie,"4,7"
218,Cuchara,"4,7"
219,The Jane,"4,6"
220,De Jonkman,"4,7"
221,Ma Langue Sourit,"4,8"
222,Nuance,"4,7"
223,Hertog Jan at Botanic,"4,7"
224,Le Chalet de la Forêt,"4,5"
225,L'Air du Temps,"4,8"
226,Slagmolen,"4,8"
227,La Paix,"4,5"
228,Castor,"4,9"
229,La Table de Maxime,"4,7"
230,Ralf Berendsen,"4,7"
231,Vrijmoed,"4,8"
232,Bozar Restaurant,"4,4"
233,L'Auberge de Montmin,"4,9"
234,Le Parc Les Crayères,"4,8"
235,La Table de Pavie,"4,8"
236,Paul Bocuse,"4,8"
237,La Chèvre d'Or,"5,0"
238,Takao Takano,"4,7"
239,Le Neuvième Art,"4,8"
240,Christopher Coutanceau,"4,7"
241,Maison Rostang,"4,4"
242,Cyril Attrazic,"4,7"
243,William Frachot,"4,6"
244,Mère Brazier,"4,7"
245,Relais de la Poste,"4,6"
246,Le Chabichou by Stéphane Buron,"4,4"
247,Le Coquillage,"4,7"
248,Christophe Hay - Fleur de Loire,"4,8"
249,Table - Bruno Verjus,"4,4"
250,La Table de Franck Putelat,"4,7"
251,Le Grand Restaurant - Jean-François Piège,"4,4"
252,Sur Mesure par Thierry Marx,"4,5"
253,Guy Savoy,"4,7"
254,Le Taillevent,"4,7"
255,Palais Royal Restaurant,"4,6"
256,Les Morainières,"4,8"
257,La Merise,"4,7"
258,L'Amaryllis,"4,9"
259,Marsan par Hélène Darroze,"4,2"
260,La Table d'Olivier Nasti,"4,7"
261,JY'S,"4,5"
262,Le Pressoir d'Argent - Gordon Ramsay,"4,7"
263,David Toutain,"4,6"
264,Le Puits Saint Jacques,"4,8"
265,Auberge de l'Ill,"4,8"
266,Auberge du Cheval Blanc,"4,7"
267,Serge Vieira,"4,7"
268,La Côte Saint-Jacques,"4,6"
269,Le Pré - Xavier Beaudiment,"4,7"
270,Le Skiff Club,"4,6"
271,Le Blue Bay,"4,7"
272,Lalique,"4,8"
273,Racine,"4,8"
274,La Côte d'Or,"4,6"
275,Hostellerie Jérôme,"4,5"
276,L'Abysse au Pavillon Ledoyen,"4,6"
277,Villa René Lalique,"4,9"
278,Le Sarkara,"4,2"
279,L'Auberge des Glazicks,"4,5"
280,L'Oiseau Blanc,"4,6"
281,La Fourchette des Ducs,"4,7"
282,Maison Aribert,"4,6"
283,Anne de Bretagne,"4,8"
284,Le Clarence,"4,6"
285,La Table Lionel Giraud,"4,8"
286,Flaveur,"4,5"
287,Duende,"4,8"
288,Restaurant Le Meurice Alain Ducasse,"4,4"
289,Michel Kayser - Restaurant Alexandre,"4,8"
290,Bras,"4,7"
291,Py-r,"4,6"
292,Mraz & Sohn,"4,7"
293,Ikarus,"4,6"
294,Steirereck im Stadtpark,"4,5"
295,Silvio Nickol Gourmet Restaurant,"4,8"
296,Konstantin Filippou,"4,5"
297,SENNS.Restaurant,"4,8"
298,Alma,"4,7"
299,Belcanto,"4,6"
300,Ocean,"4,7"
301,The Yeatman,"4,8"
302,Vila Joya,"4,0"
303,Casa de Chá da Boa Nova,"4,7"
304,Mingles,"4,5"
305,La Yeon,"4,5"
306,alla Prima,"4,6"
307,Kojima,"4,3"
308,Soigné,"4,5"
309,Ryō-shō,"4,8"
310,VELROSIER,"4,7"
311,Sushi Harasho,"4,3"
312,Kikunoi Roan,"4,3"
313,KAHALA,"4,8"
314,Kenninji Gion Maruyama,"4,5"
315,Miyamaso,"4,6"
316,Numata,"4,6"
317,Tenjimbashi Aoki,"4,4"
318,Oryori Mitsuyasu,"4,5"
319,Fujiya 1935,"4,5"
320,Yusokuryori Mankamero,"4,7"
321,Otagi,"4,8"
322,Shunsaiten Tsuchiya,"4,5"
323,Shimmonzen Yonemura,"4,5"
324,Gion Maruyama,"4,4"
325,Sojiki Nakahigashi,"4,5"
326,Wagokoro Izumi,"4,5"
327,Gion Matayoshi,"4,4"
328,La Cime,"4,3"
329,Sumibi Kappo Ifuki,"4,6"
330,Kodaiji Wakuden,"4,6"
331,Bottiglieria 1881,"4,6"
332,Il Gallo d'Oro,"4,5"
333,D.O.M.,"4,8"
334,Oteque,"4,5"
335,Oro,"4,9"
336,Potong,"4,7"
337,Wana Yook,"4,7"
338,Maison Dunand,"4,6"
339,Mia,"4,7"
340,Sushi Masato,"4,7"
341,Signature,"4,7"
342,IGNIV,"4,6"
343,Le Normandie by Alain Roux,"4,5"
344,Resonance,"4,7"
345,Blue by Alain Ducasse,"4,4"
346,Jay Fai,"3,7"
347,Saneh Jaan,"4,4"
348,Côte by Mauro Colagreco,"4,8"
349,Chim by Siam Wisdom,"4,2"
350,Le Du,"4,1"
351,"Elements, Inspired by Ciel Bleu","4,4"
352,Samrub Samrub Thai,"4,6"
353,Cadence by Dan Bark,"4,9"
354,NAWA,"4,9"
355,Nahm,"4,0"
356,Khao (Ekkamai),"4,4"
357,99 Sushi Bar,"4,6"
358,Talea by Antonio Guida,"3,9"
359,Hakkasan,"4,6"
360,Ginza L’écrin,"4,5"
361,NéMo,"4,5"
362,Chugoku Hanten Fureika,"4,4"
363,Sorahana,"4,4"
364,Kaiseki Komuro,"4,1"
365,Ippei Hanten,"4,6"
366,Sushi Kojima,"4,1"
367,Sushi Masashi,"4,7"
368,Sushi Ryujiro,"4,5"
369,Torakuro,"4,9"
370,Nishiazabu Otake,"4,6"
371,Oniku Karyu,"4,4"
372,GINZA OKUDA,"4,3"
373,Édition Koji Shimomura,"4,4"
374,Nogizaka Shin,"4,6"
375,Nishiazabu Sushi Shin,"4,4"
376,FUSHIKINO,"4,6"
377,Azabujuban Fukuda,"4,0"
378,UDATSU SUSHI,"4,4"
379,Tour D'argent Tokyo,"4,6"
380,Edomae Sushi Hanabusa,"4,4"
381,L'aube,"4,6"
382,Azabu Wakei,"4,0"
383,Guchokuni,"4,7"
384,ESTERRE,"4,3"
385,Shichubo Yung,"4,3"
386,Simplicité,"4,6"
387,Jukuseizushi Yorozu,"4,5"
388,Tamawarai,"3,7"
389,Yuan Yamori,"3,9"
390,Yakitori Omino,"4,4"
391,Sushi Kuwano,"4,7"
392,La Paix,"4,5"
393,Seika Kobayashi,"4,0"
394,La Clairière,"4,7"
395,Torishiki,"4,4"
396,Tempura Yaguchi,"4,3"
397,Ginza Kitafuku,"4,6"
398,Sushi Keita,"4,6"
399,Sharikimon Onozawa,"4,7"
400,Kyobashi Tempura Fukamachi,"4,5"
401,Shokuzen Abe,"4,4"
402,Tempura Miyashiro,"4,5"
403,Ginza Toyoda,"4,2"
404,MAKIYAKI GINZA ONODERA,"4,7"
405,Aroma Fresca,"4,4"
406,Arakicho Tatsuya,"4,8"
407,Waketokuyama,"4,6"
408,Hiroo Ishizaka,"5,0"
409,Sushi Ichijo,"4,2"
410,l'élan,"4,8"
411,Mētis Roppongi,"4,9"
412,Mutsukari,"4,6"
413,Nodaiwa Azabu Iikura Honten,"4,3"
414,Tenoshima,"4,5"
415,Kasumicho Yamagami,"4,7"
416,Yakumo Uezu,"4,7"
417,Chugoku Hanten Kohakukyu (Amber Palace),"4,5"
418,Nishiazabu Taku,"4,7"
419,Sushidokoro Kiraku,"4,5"
420,L'AFFINAGE,"4,7"
421,le sputnik,"4,4"
422,PRUNIER,"4,5"
423,Il Ristorante - Niko Romito,"3,9"
424,Andreu Genestra,"4,5"
425,Desde 1911,"4,8"
426,Sa Clastra,"4,6"
427,En la Parra,"4,7"
428,Castell Peralada,"4,6"
429,La Lobita,"4,7"
430,Atempo,"4,7"
431,Sala,"4,6"
432,Casa Pepa,"4,4"
433,Tula,"4,7"
434,Ababol,"4,6"
435,La Fonda Xesc,"4,5"
436,Víctor Gutiérrez,"4,5"
437,Tresmacarrons,"4,6"
438,Messina,"4,6"
439,LÚ Cocina y Alma,"4,6"
440,Kaleja,"4,7"
441,Monte,"4,8"
442,Ibaya,"4,4"
443,Lienzo,"4,6"
444,ARREA!,"4,6"
445,Clos Madrid,"4,6"
446,Quimbaya,"4,8"
447,El Molino de Alcuneza,"4,6"
448,Cancook,"4,6"
449,Santerra,"4,4"
450,OSA,"4,7"
451,Toki,"4,9"
452,Ancestral,"4,6"
453,A Tafona,"4,6"
454,Deliranto,"4,7"
455,Casona del Judío,"4,4"
456,L'Ó,"4,6"
457,Refectorio,"4,7"
458,Taller,"4,3"
459,Cañabota,"4,5"
460,Coto de Quevedo Evolución,"4,7"
461,Almo,"4,8"
462,Bagá,"4,8"
463,Els Casals,"4,7"
464,BACK,"4,6"
465,Baluarte,"4,8"
466,El Xato,"4,8"
467,Nova,"4,7"
468,El Bohío,"4,7"
469,Fogony,"4,8"
470,La Botica,"4,5"
471,Tatau,"4,7"
472,Lillas Pastia,"4,5"
473,Fraula,"4,6"
474,Nintai,"4,6"
475,Ayalga,"4,4"
476,Les Moles,"4,7"
