,restaurante,puntuacion
852,Kuppelrain,"4,9"
853,Al Gambero,"4,8"
854,I Pupi,"4,5"
855,Materia,"4,7"
856,L'Asinello,"4,7"
857,Senso Alfio Ghezzi Mart,"4,4"
858,Due Colombe,"4,7"
859,Locanda del Pilone,"4,5"
860,Pashà,"4,7"
861,Sensi,"4,6"
862,Nazionale,"4,5"
863,Il Tino,"4,5"
864,Līmū,"4,9"
865,Gambero Rosso,"4,8"
866,Qafiz,"4,8"
867,Rossellinis,"4,6"
868,Orma Roma,"4,8"
869,Il Fuoco Sacro,"4,6"
870,Villa Naj,"4,7"
871,Silene,"4,6"
872,Terramira,"4,9"
873,Il Tiglio,"4,8"
874,La Madernassa,"4,6"
875,Peter Brunel Ristorante Gourmet,"4,9"
876,FRE,"4,8"
877,Principe Cerami,"4,7"
878,Piano 35,"4,5"
879,Damini Macelleria & Affini,"4,6"
880,All'Enoteca,"4,6"
881,Casa Vissani,"4,7"
882,Sapio,"4,7"
883,La Palta,"4,7"
884,Il Cantuccio,"4,7"
885,Gardenia,"4,7"
886,Coria,"4,6"
887,Dal Corsaro,"4,5"
888,La Trattoria Enrico Bartolini,"4,5"
889,LoRo,"4,6"
890,Nove,"4,7"
891,Spinechile,"4,8"
892,Wood,"4,5"
893,Aqua Crua,"4,7"
894,Il Pievano,"4,3"
895,Locanda San Lorenzo,"4,7"
896,Il Papavero,"4,6"
897,Antonello Colonna Labico,"4,2"
898,Il Centro,"4,7"
899,La Preséf,"4,5"
900,Palazzo Petrucci,"4,5"
901,Angelo Sabatelli,"4,9"
902,Atelier,"4,7"
903,Bistrot,"4,6"
904,Luigi Lepore,"4,9"
905,Per Me Giulio Terrinoni,"4,6"
906,Andreina,"4,5"
907,Franco Mare,"4,6"
908,Cortile Spirito Santo,"4,7"
909,La Magnolia,"4,5"
910,Linfa,"4,8"
911,Felix Lo Basso home & restaurant,"4,5"
912,Mec Restaurant,"4,7"
913,Pascucci al Porticciolo,"4,6"
914,L'Acciuga,"4,5"
915,In Viaggio - Claudio Melis,"4,9"
916,Anima,"4,8"
917,Osteria degli Assonica,"4,4"
918,La Bandiera,"4,8"
919,Italo Bassi Confusion Restaurant,"4,0"
920,Lux Lucis,"4,7"
921,Antica Corte Pallavicina,"4,6"
922,ARIA,"4,8"
923,Don Geppi,"4,5"
924,Apostelstube,"4,9"
925,Già Sotto l'Arco,"4,4"
926,San Martino,"4,7"
927,SanBrite,"4,6"
928,Pulejo,"4,8"
929,Paolo Griffa al Caffè Nazionale,"4,2"
930,La Caravella dal 1959,"4,4"
931,Orto by Jorg Giubbani,"4,8"
932,Osmosi,"4,7"
933,Casin del Gamba,"4,8"
934,Trattoria al Cacciatore - La Subida,"4,6"
935,Il Sereno Al Lago,"4,1"
936,Colline Ciociare,"4,6"
937,Il Visibilio,"5,0"
938,Dattilo,"4,6"
939,Une,"4,8"
940,Unforgettable,"4,8"
941,Octavin,"4,5"
942,Mater1apr1ma,"4,7"
943,Contrada Bricconi,"4,9"
944,Gabbiano 3.0,"4,2"
945,Idylio by Apreda,"4,6"
946,Rear Restaurant,"4,4"
947,Gusto by Sadler,"4,3"
948,Casa Buono,"4,9"
949,Re Santi e Leoni,"4,8"
950,Il Saraceno,"4,7"
951,Il Palagio,"4,5"
952,Storie d'Amore,"4,6"
953,La Capanna di Eraclio,"4,7"
954,La Zanzara,"4,7"
955,Oseleta,"4,6"
956,Da Gorini,"4,7"
957,Le Monzù,"4,5"
958,Zur Rose,"4,7"
959,Vecchio Ristoro,"4,6"
960,Tivoli,"4,6"
961,Caracol,"4,7"
962,Leon d'Oro,"4,7"
963,Poggio Rosso,"4,6"
964,Il Refettorio,"4,4"
965,La Parolina,"4,7"
966,Cannavacciuolo Vineyard,"4,7"
967,Il Parco di Villa Grey,"5,0"
968,Quadri,"3,7"
969,Bluh Furore,"5,0"
970,Neolokal,"4,3"
971,Teruar Urla,"4,4"
972,Arkestra,"4,4"
973,Araka,"4,3"
974,Kitchen,"4,6"
975,Vino Locale,"4,6"
976,OD Urla,"4,5"
977,Nicole,"4,5"
978,Mikla,"4,4"
979,Sankai by Nagaya,"4,4"
980,Rania,"4,4"
981,Little Pearl,"4,5"
982,Fiola,"4,6"
983,The Dabney,"4,6"
984,Métier,"4,1"
985,Gravitas,"4,3"
986,Rooster & Owl,"4,7"
987,Masseria,"4,4"
988,Elcielo D.C.,"4,4"
989,Maydān,"4,6"
990,Reverie,"4,6"
991,Causa,"4,6"
992,Bresca,"4,6"
993,Oyster Oyster,"4,6"
994,Tail Up Goat,"4,6"
995,Sushi Nakazawa,"4,7"
996,Imperfecto: The Chef's Table,"4,4"
997,Albi,"4,8"
998,Rose’s Luxury,"4,7"
999,Shmoné,"4,3"
1000,Tsukimi,"4,6"
1001,Sushi Ichimura,"4,9"
1002,Joomak Banjum,"4,4"
1003,Oiji Mi,"4,6"
1004,Jua,"4,8"
1005,bōm,"4,8"
1006,Noz 17,"4,4"
1007,Torrisi,"4,7"
1008,Red Paper Clip,"4,3"
1009,Le Jardinier New York,"4,5"
1010,Rezdôra,"4,3"
1011,Semma,"4,2"
1012,Frevo,"4,8"
1013,Torien,"4,6"
1014,Icca,"4,6"
1015,Yoshino,"4,6"
1016,Crown Shy,"4,5"
1017,Sushi Amane,"4,6"
1018,The Musket Room,"4,5"
1019,Gramercy Tavern,"4,6"
1020,Sushi Yasuda,"4,4"
1021,Vestry,"4,1"
1022,Dirt Candy,"4,6"
1023,Tuome,"4,5"
1024,The Four Horsemen,"4,6"
1025,Oxalis,"4,7"
1026,Casa Mono,"4,3"
1027,Kosaka,"4,5"
1028,One White Street,"4,4"
1029,Hirohisa,"4,4"
1030,Family Meal at Blue Hill,"4,6"
1031,Le Pavillon,"4,6"
1032,Kochi,"4,6"
1033,Essential by Christophe,"4,9"
1034,Caviar Russe,"4,5"
1035,Clover Hill,"4,6"
1036,Noda,"4,8"
1037,Sushi Nakazawa,"4,6"
1038,Tempura Matsui,"4,8"
1039,Jeju Noodle Bar,"4,4"
1040,Le Coucou,"4,5"
1041,Francie,"4,6"
1042,Cote,"4,6"
1043,Shion 69 Leonard Street,"4,6"
1044,L’Abeille,"4,6"
1045,Oxomoco,"4,5"
1046,Restaurant Yuu,"4,4"
1047,Porto,"4,1"
1048,Topolobampo,"4,6"
1049,Esmé,"4,5"
1050,Next,"4,6"
1051,Mako,"4,5"
1052,Temporis,"4,7"
1053,Atelier,"4,8"
1054,Schwa,"4,5"
1055,Omakase Yume,"4,7"
1056,EL Ideas,"4,8"
1057,Elske,"4,6"
1058,Sepia,"4,6"
1059,Kasama,"4,6"
1060,Boka,"4,7"
1061,Hayakawa,"4,5"
1062,Bacchanalia,"4,6"
1063,Mujō,"4,5"
1064,Lazy Betty,"4,8"
1065,Atlas,"4,5"
1066,Hytra,"4,4"
1067,Hervé,"4,8"
1068,CTC Urban Gastronomy,"4,7"
1069,Spondi,"4,5"
1070,Tudor Hall,"4,7"
1071,Botrini's,"4,4"
1072,Varoulko Seaside,"4,6"
1073,The Zillers,"4,4"
1074,Soil,"4,8"
1075,Xin Rong Ji (Jinrong Street),"4,1"
1076,Fu Chun Ju,"5,0"
1077,Lei Garden (Jinbao Tower),"4,6"
1078,Opera Bombana,"4,2"
1079,Xin Rong Ji (Jianguomenwai Street),"4,1"
1080,Zhiguan Courtyard,"4,0"
1081,iDen & QuanJuDe Beijing Duck House,"4,6"
1082,Masayoshi,"4,3"
1083,Barbara,"4,7"
1084,Okeya Kyujiro,"4,8"
1085,Burdock & Co,"4,1"
1086,Kissa Tanto,"4,5"
1087,Published on Main,"4,4"
1088,AnnaLena,"4,7"
1089,St. Lawrence,"4,6"
1090,Hôtel de Ville,"4,5"
1091,Verve by Sven,"3,7"
1092,La Dispensa,"4,7"
1093,elmira,"4,9"
1094,Denis Martin,"4,6"
1095,Le Chat-Botté,"4,7"
1096,La Riva,"4,7"
1097,Aux Trois Amis,"4,3"
1098,Le Berceau des Sens,"4,7"
1099,Table de Mary,"4,7"
1100,LA CHAVALLERA in der Krone - Säumerei am Inn,"4,7"
1101,EquiTable,"4,8"
1102,Alpine Gourmet Prato Borni,"4,8"
1103,Capri,"4,3"
1104,Cà d'Oro,"4,6"
1105,Jägerhof,"4,7"
1106,Traube,"4,9"
1107,THE VIEW,"4,6"
1108,Tosca,"4,5"
1109,Seerestaurant Belvédère,"4,7"
1110,Tsé Fung,"4,1"
1111,Löwen - Apriori,"4,8"
1112,Wirtschaft im FRANZ,"4,5"
1113,Lucide,"4,8"
1114,META,"4,6"
1115,La Micheline,"4,7"
1116,Gasthaus zum Kreuz - Bijou,"4,8"
1117,Wöschi,"4,5"
1118,Du Bourg,"4,8"
1119,La Rôtisserie,"4,5"
1120,Eden Kitchen & Bar,"4,6"
1121,L'Aparté,"4,8"
1122,Gasthaus zum Kreuz - Stübli,"4,8"
1123,Bayview by Michel Roth,"4,8"
1124,Truube,"4,9"
1125,Neue Blumenau,"4,7"
1126,Auberge de la Croix Blanche,"4,7"
1127,Löwen,"4,9"
1128,After Seven,"4,5"
1129,Torkel,"4,8"
1130,Talvo by Dalsass,"4,7"
1131,Schlüssel,"4,9"
1132,Locanda Barbarossa,"4,4"
1133,Sonne,"4,7"
1134,Alpenblick - Stuba,"4,7"
1135,Locanda Orico,"4,7"
1136,Du Cerf,"4,5"
1137,Regina Montium,"4,8"
1138,Fahr,"4,5"
1139,Neue Taverne,"4,6"
1140,Chesa Stüva Colani,"4,8"
1141,KLE,"4,5"
1142,GÜTSCH by Markus Neff,"3,8"
1143,La Pinte des Mossettes,"4,8"
1144,OZ,"4,7"
1145,Sushi Shin,"4,0"
1146,Bad Balgach by Schützelhofer,"4,9"
1147,Colonnade,"5,0"
1148,Osteria Enoteca Cuntitt,"4,7"
1149,Njørden,"4,8"
1150,UniQuisine Atelier,"5,0"
1151,Birdy's by Achtien - The Nest,"4,5"
1152,Wiesner Mysterion - Zauber,"4,8"
1153,Osteria dell'Enoteca,"4,7"
1154,Sternen - Badstube,"4,6"
1155,Brasserie Uno,"4,7"
1156,Le Pérolles,"4,8"
1157,Stéphane Décotterd,"4,7"
1158,Sihlhalde,"4,8"
1159,Il Lago,"4,5"
1160,Damien Germanier,"4,6"
1161,L'OURS,"5,0"
1162,Sommet by Martin Göschel,"4,5"
1163,Gasthaus Zum Gupf,"4,9"
1164,Wirtshaus Zur Säge,"4,8"
1165,Maison Manesse,"4,7"
1166,Domaine de Châteauvieux,"4,7"
1167,La Table d'Adrien,"4,7"
1168,Segreto,"4,7"
1169,La Chaumière by Serge Labrosse,"4,6"
1170,Le Cigalon,"4,8"
1171,RICO'S,"4,7"
1172,I Due Sud,"4,2"
1173,Château Attisholz,"4,7"
1174,Panorama - Cayenne,"4,8"
1175,Alpenblick,"4,1"
1176,Bel Etage,"4,6"
1177,Schlüssel - Nidbergstube,"4,8"
1178,Wein & Sein,"4,8"
1179,Zur Gedult,"4,8"
1180,Steinhalle,"4,5"
1181,Les Montagnards - Le Sommet,"4,5"
1182,The Japanese by The Chedi at Gütsch,"4,6"
1183,Restaurant GERBER WYSS,"4,7"
1184,Des Trois Tours,"4,8"
1185,1910 Gourmet by Hausers,"4,8"
1186,Radius by Stefan Beer,"5,0"
1187,Krone,"4,7"
1188,Gilles Varone,"5,0"
1189,ZOE,"4,9"
1190,Alo,"4,6"
1191,Kaiseki Yu-zen Hashimoto,"4,8"
1192,Kappo Sato,"4,7"
1193,Frilu,"4,7"
1194,Yukashi,"4,8"
1195,Edulis,"4,7"
1196,Don Alfonso 1890 Toronto,"4,5"
1197,Alobar Yorkville,"4,4"
1198,Quetzal,"4,7"
1199,Shoushin,"4,4"
1200,Aburi Hana,"4,6"
1201,Osteria Giulia,"4,5"
1202,Restaurant 20 Victoria,"4,4"
1203,Enigma Yorkville,"4,4"
1204,Grič,"4,8"
1205,Dam,"4,8"
1206,Hiša Linhart,"4,6"
1207,Hiša Denk,"4,9"
1208,Restavracija Strelec,"4,7"
1209,Costes,"4,5"
1210,Babel,"4,5"
1211,Borkonyha Winekitchen,"4,6"
1212,essência,"4,8"
1213,42,"4,7"
1214,Rumour,"4,7"
1215,Salt,"4,7"
1216,Bosq,"4,4"
1217,Beckon,"4,8"
1218,Brutø,"4,7"
1219,The Wolf's Tailor,"4,7"
1220,Frasca Food and Wine,"4,6"
1221,Song Yun Ze,"4,7"
1222,Fu Rong Huang,"4,8"
1223,Ban Bo,"4,6"
1224,ZEA,"4,6"
1225,Ad Astra,"4,8"
1226,Kitcho,"4,2"
1227,Sushi Akira,"4,5"
1228,Tien Hsiang Lo,"4,5"
1229,Sushi Nomura,"4,5"
1230,Golden Formosa,"4,3"
1231,Longtail,"4,1"
1232,Impromptu by Paul Lee,"4,2"
1233,Mountain and Sea House,"4,1"
1234,Mipon,"4,4"
1235,Ming Fu,"4,4"
1236,Forchetta,"4,3"
1237,Sushi Ryu,"4,3"
1238,Fujin Tree Taiwanese Cuisine & Champagne (Songshan),"4,2"
1239,Holt,"4,5"
1240,Haili,"4,3"
1241,Paris 1930 de Hideki Takayama,"4,6"
1242,Sur-,"4,6"
1243,Aphotic,"4,5"
1244,Bell's,"4,8"
1245,Manzke,"4,6"
1246,Knife Pleat,"4,4"
1247,Sons & Daughters,"4,7"
1248,Shin Sushi,"4,8"
1249,The Progress,"4,6"
1250,Chez TJ,"4,5"
1251,The Shota,"4,8"
1252,Nisei,"4,5"
1253,O' by Claude Le Tohic,"4,6"
1254,Sushi Tadokoro,"4,7"
1255,Sushi Yoshizumi,"4,8"
1256,Localis,"4,7"
1257,Ssal,"4,7"
1258,Jeune et Jolie,"4,8"
1259,Soichi,"4,8"
1260,Madcap,"4,8"
1261,The Kitchen,"4,7"
1262,Six Test Kitchen,"4,9"
1263,Le Comptoir at Bar Crenn,"4,6"
1264,Mister Jiu’s,"4,3"
1265,Nozawa Bar,"4,4"
1266,Aubergine,"4,7"
1267,Maude,"4,5"
1268,Kin Khao,"4,3"
1269,Orsa & Winston,"4,5"
1270,Nari,"4,5"
1271,Protégé,"4,7"
1272,Angler SF,"4,5"
1273,Sorrel,"4,6"
1274,Auro,"5,0"
1275,Hana re,"4,6"
1276,Sushi Inaba,"4,6"
1277,Shibumi,"4,0"
1278,Osteria Mozza,"4,4"
1279,Wakuriya,"4,7"
1280,Gwen,"4,4"
1281,Gary Danko,"4,6"
1282,Kenzo,"4,6"
1283,Niku Steakhouse,"4,6"
1284,Kato,"4,6"
1285,State Bird Provisions,"4,6"
1286,Heritage,"4,7"
1287,Plumed Horse,"4,4"
1288,The Village Pub,"4,6"
1289,Sushi Shin,"4,8"
1290,Auberge du Soleil,"4,7"
1291,Sushi Kaneyoshi,"4,8"
1292,Morihiro,"4,5"
1293,The Restaurant at JUSTIN,"4,4"
1294,Valle,"4,2"
1295,Caruso's,"4,6"
1296,Camphor,"4,4"
1297,Barndiva,"4,3"
1298,Osito,"4,6"
1299,Chez Noir,"4,6"
1300,Cyrus,"4,7"
1301,715,"4,8"
1302,Press,"4,5"
1303,Lei Garden (Yuexiu),"4,1"
1304,BingSheng Private Kitchen (Tianhe East Road),"4,6"
1305,Art di Daniele Sperindio,"4,5"
1306,Lerouy,"4,5"
1307,Euphoria,"4,4"
1308,Jag,"4,8"
1309,Candlenut,"4,4"
1310,Buona Terra,"4,5"
1311,Sommer,"4,7"
1312,Hill Street Tai Hwa Pork Noodle,"4,0"
1313,Rhubarb,"4,6"
1314,Cure,"4,6"
1315,Meta,"4,6"
1316,Imperial Treasure Fine Teochew Cuisine (Orchard),"4,1"
1317,Putien (Kitchener Road),"4,6"
1318,Whitegrass,"4,7"
1319,Ma Cuisine,"4,6"
1320,Nouri,"4,6"
1321,Shinji (Bras Basah Road),"4,6"
1322,Béni,"4,5"
1323,Summer Pavilion,"4,6"
1324,CUT,"4,6"
1325,Sushi Ichi,"4,5"
1326,Sushi Kimura,"4,6"
1327,Braci,"4,5"
1328,Shisen Hanten,"4,7"
1329,Burnt Ends,"4,5"
1330,Oshino,"4,0"
1331,Seroja,"4,7"
1332,Nae:um,"4,6"
1333,Labyrinth,"4,6"
1334,Esora,"4,5"
1335,Poise,"4,8"
1336,La Dame de Pic,"4,5"
1337,Summer Palace,"4,5"
1338,Table65,"4,6"
1339,28 Wilkie,"4,3"
1340,Willow,"4,8"
1341,Hamamoto,"4,9"
1342,Rêve,"4,6"
1343,NUTA,"4,8"
1344,Muga,"4,7"
1345,Restaurant 360,"4,7"
1346,Boškinac,"4,6"
1347,Pelegrini,"4,7"
1348,Noel,"4,6"
1349,LD Restaurant,"4,7"
1350,Monte,"4,7"
1351,Draga di Lovrana,"4,8"
1352,Agli Amici Rovinj,"4,7"
1353,Alfred Keller,"4,6"
1354,Nebo by Deni Srdoč,"4,5"
1355,Under,"4,7"
1356,DILL,"4,5"
1357,Nour,"4,7"
1358,FAGN,"4,7"
1359,Operakällaren,"4,5"
1360,Finnjävel Salonki,"4,5"
1361,Villa Vest,"4,5"
1362,Signum,"4,8"
1363,K2,"4,7"
1364,MOTA,"4,7"
1365,Etoile,"4,8"
1366,Sabi Omakase Oslo,"4,9"
1367,Kadeau Bornholm,"4,5"
1368,HYDE,"4,7"
1369,28+,"4,6"
1370,SK Mat & Människor,"4,7"
1371,Statholdergaarden,"4,8"
1372,Jatak,"4,5"
1373,Søllerød Kro,"4,8"
1374,The Samuel,"4,8"
1375,Adam / Albin,"4,8"
1376,PM & Vänner,"4,4"
1377,Lysverket,"4,4"
1378,Knystaforsen,"4,9"
1379,Syttende,"4,7"
1380,ARO,"4,8"
1381,Stallen,"4,8"
1382,Frederiksminde,"4,4"
1383,Ekstedt,"4,7"
1384,Marchal,"4,5"
1385,Hot Shop,"4,6"
1386,Alouette,"4,8"
1387,Credo,"4,7"
1388,Sushi Sho,"4,6"
1389,À L'aise,"4,7"
1390,Kaskis,"4,7"
1391,Olo,"4,8"
1392,Kontrast,"4,7"
1393,Domæne,"4,7"
1394,ÓX,"4,7"
1395,formel B,"4,5"
1396,Demo,"4,6"
1397,ÄNG,"4,7"
1398,Ti Trin Ned,"4,8"
1399,Koka,"4,7"
1400,LYST,"4,9"
1401,Gastromé,"4,8"
1402,Substans,"4,5"
1403,Project,"4,5"
1404,Domestic,"4,8"
1405,Moss,"4,7"
1406,Grön,"4,7"
1407,Ănăn Saigon,"4,0"
1408,Tầm Vị,"4,1"
1409,Jie Xiang Lou,"5,0"
1410,NOA Chef’s Hall,"4,6"
1411,Al Muntaha,"4,5"
1412,Torno Subito,"4,1"
1413,Hakkasan,"4,4"
1414,11 Woodfire,"4,3"
1415,avatāra,"4,9"
1416,Armani Ristorante,"4,4"
1417,Ossiano,"4,5"
1418,Dinner by Heston Blumenthal,"4,2"
1419,Tasca by José Avillez,"4,6"
1420,moonrise,"4,9"
1421,Hōseki,"4,8"
1422,L'AUBERGE DE PLAISANCE SAKURAI,"4,2"
1423,Musoan,"4,0"
1424,La Terrasse irisée,"4,3"
1425,Sushi Kawashima,"4,8"
1426,communico,"4,4"
1427,Matsuki,"4,6"
1428,Gen,"4,0"
1429,Okada,"4,8"
1430,Wa Yamamura,"4,5"
1431,Ajinotabibito Roman,"4,4"
1432,Kaiseki Morimoto,"4,4"
1433,LA TRACE,"4,6"
1434,Tambourine Room by Tristan Brandt,"4,2"
1435,Rocca,"4,6"
1436,Soseki,"4,9"
1437,Capa,"4,6"
1438,The Surf Club Restaurant,"4,6"
1439,Los Félix,"3,9"
1440,Hiden,"4,8"
1441,Elcielo Miami,"4,2"
1442,Lilac,"4,1"
1443,Boia De,"4,7"
1444,Kadence,"4,8"
1445,The Den at Azabu Miami Beach,"5,0"
1446,Knife & Spoon,"4,2"
1447,Cote Miami,"4,6"
1448,Le Jardinier Miami,"4,4"
1449,Ariete,"4,4"
1450,Stubborn Seed,"4,4"
1451,Koya,"4,6"
1452,The Demon Celebrity,"4,2"
1453,Ryota Kappou Modern,"4,4"
1454,Hansik Goo,"4,4"
1455,Liu Yuan Pavilion,"4,1"
1456,Mandarin Grill + Bar,"4,6"
1457,Seventh Son (Wan Chai),"4,1"
1458,Yè Shanghai (Tsim Sha Tsui),"4,0"
1459,Yat Tung Heen,"4,3"
1460,Man Wah,"4,4"
1461,Lai Heen,"4,4"
1462,Summer Palace,"4,2"
1463,The Kitchen,"3,5"
1464,New Punjab Club,"4,5"
1465,Yardbird,"4,4"
1466,8 1/2 Otto e Mezzo - Bombana,"4,7"
1467,Mono,"4,5"
1468,The Huaiyang Garden,"5,0"
1469,Kam's Roast Goose,"4,1"
1470,Imperial Treasure Fine Chinese Cuisine (Tsim Sha Tsui),"4,1"
1471,Five Foot Road,"4,3"
1472,Zi Yat Heen,"4,5"
1473,Tosca di Angelo,"4,4"
1474,Kappo Rin,"4,7"
1475,Ho Hung Kee (Causeway Bay),"3,9"
1476,Beefbar,"4,4"
1477,Pearl Dragon,"4,5"
1478,Arcane,"4,5"
1479,The Chairman,"4,5"
1480,Wils,"4,5"
1481,RIJKS®,"4,4"
1482,De Juwelier,"4,0"
1483,Zoldering,"4,7"
1484,Wiesen,"4,6"
1485,Brass Boer Thuis,"4,5"
1486,Eden,"4,6"
1487,Brienen aan de Maas,"4,5"
1488,'t Raedthuys,"4,4"
1489,Au Coin des Bons Enfants,"4,7"
1490,Daalder,"4,4"
1491,Aan de Zweth,"4,7"
1492,Flavours,"4,7"
1493,Basiliek,"4,6"
1494,MOS,"4,7"
1495,Rijnzicht,"4,5"
1496,De Burgemeester,"4,7"
1497,The Millèn,"4,6"
1498,Da Vinci,"4,8"
1499,Restaurant Smink,"4,9"
1500,Meliefste,"4,9"
1501,Het Koetshuis,"4,6"
1502,Marrees,"4,7"
1503,Lars Amsterdam,"4,8"
1504,Beluga Loves You,"4,7"
1505,De Bloemenbeek,"4,5"
1506,De Kromme Dissel,"4,8"
1507,De Moerbei,"4,8"
1508,O&O,"4,9"
1509,Cheval Blanc,"4,7"
1510,FG Food Labs,"4,5"
1511,Bij Jef,"4,7"
1512,Restaurant Kasteel Heemstede,"4,7"
1513,Tout à Fait,"4,7"
1514,De Vlindertuin,"4,7"
1515,Apicius,"4,8"
1516,Kaatje bij de Sluis,"4,3"
1517,Spetters,"4,6"
1518,Monarh,"4,7"
1519,Merlet,"4,7"
1520,Ratatouille Food & Wine,"4,6"
1521,Rantrée,"4,7"
1522,YAMA,"4,9"
1523,ML,"4,1"
1524,Joelia,"4,4"
1525,AIRrepublic,"4,3"
1526,Perceel,"4,7"
1527,La Provence,"4,6"
1528,Bolenius,"4,4"
1529,'t Vlasbloemeken,"4,7"
1530,Flicka,"4,8"
1531,Latour,"4,8"
1532,Noble Kitchen,"4,5"
1533,De Gieser Wildeman,"4,7"
1534,Bougainville,"4,8"
1535,Central Park,"4,6"
1536,Voltaire,"4,8"
1537,Château Neercanne,"4,6"
1538,Atelier,"4,8"
1539,De Kas,"4,7"
1540,Pieters Restaurant,"4,6"
1541,Derozario,"4,7"
1542,Fitzgerald,"4,4"
1543,Yamazato,"4,5"
1544,The White Room by Jacob Jan Boerma,"4,7"
1545,Coulisse,"4,6"
1546,LIZZ,"4,4"
1547,'t Lansink,"4,6"
1548,Amarone,"4,6"
1549,De Swarte Ruijter,"4,6"
1550,Studio,"5,0"
1551,Sinne,"4,6"
1552,THE DUCHESS,"4,3"
1553,'t Ganzenest,"4,5"
1554,Vigor,"4,8"
1555,Maeve,"4,8"
1556,Pikaar,"4,8"
1557,Bistro de la Mer,"4,3"
1558,Noor,"4,6"
1559,Herberg Onder de Linden,"4,8"
1560,Tante Koosje,"4,7"
1561,De Nederlanden,"4,7"
1562,Zeezout,"4,6"
1563,Zout & Citroen,"4,3"
1564,'t Amsterdammertje,"4,8"
1565,Graphite by Peter Gast,"4,5"
1566,ONE,"4,7"
1567,Alma,"4,8"
1568,De Leuf,"4,7"
1569,Erno's Bistro,"4,6"
1570,Hannappel,"4,7"
1571,Alt Wyk,"4,7"
1572,Alte Schule - Klassenzimmer,"4,6"
1573,Borst,"4,8"
1574,Veles,"4,8"
1575,Pink Pepper,"4,8"
1576,KUNO 1408,"4,6"
1577,Yoshi by Nagaya,"4,7"
1578,die burg,"4,8"
1579,Genuss-Atelier,"4,8"
1580,Tantris DNA,"4,8"
1581,The Stage,"4,8"
1582,Clara - Restaurant im Kaisersaal,"4,7"
1583,Steins Traube,"4,7"
1584,Rosin,"4,3"
1585,Goldener Anker,"4,7"
1586,Les Deux,"4,6"
1587,Hämmerle's Restaurant,"4,7"
1588,Gasthaus Jakob,"4,9"
1589,Schattbuch,"4,8"
1590,Schlossberg,"4,5"
1591,Bembergs Häuschen,"4,7"
1592,Wein- und Tafelhaus,"4,7"
1593,Eichhalde,"4,7"
1594,Jungborn,"5,0"
1595,Oswald's Gourmetstube,"4,6"
1596,SIEDEPUNKT,"4,5"
1597,La Cuisine Rademacher,"4,8"
1598,Lamm Rosswag,"4,8"
1599,Irma la Douce,"4,5"
1600,Wachter Foodbar,"4,9"
1601,mural farmhouse - FINE DINE,"4,2"
1602,Ritzi Gourmet,"4,5"
1603,Der Zauberlehrling,"4,5"
1604,Admiral,"4,7"
1605,Alte Überfahrt,"4,6"
1606,Bieberbau,"4,5"
1607,Eckert,"4,5"
1608,Erbprinz,"4,1"
1609,Landhaus Köpp,"4,6"
1610,Colombi Restaurant Zirbelstube,"4,6"
1611,Le Flair,"4,8"
1612,GOLVET,"4,7"
1613,Bandol sur mer,"4,6"
1614,Wolfshöhle,"4,7"
1615,Landhaus Feckl,"4,7"
1616,Schwabenstube,"4,7"
1617,Das Marktrestaurant,"4,8"
1618,FAVORITE restaurant,"4,4"
1619,SoulFood,"4,8"
1620,Le Jardin de France im Stahlbad,"4,5"
1621,IKO,"4,8"
1622,Schwitzer's Gourmet-Restaurant,"5,0"
1623,Elements,"4,7"
1624,TAWA YAMA FINE,"4,5"
1625,Gutshaus Stolpe,"4,6"
1626,Schwarzer Adler,"4,6"
1627,KAI3,"4,8"
1628,ZweiSinn Meiers | Fine Dining,"4,5"
1629,Orangerie,"4,7"
1630,Délice,"4,9"
1631,Restaurant auf Schloss Filseck,"4,3"
1632,Rebers Pflug,"4,8"
1633,Nagaya,"4,7"
1634,Anthony's Kitchen,"4,8"
1635,MARBURGER Esszimmer,"4,6"
1636,Agata's,"4,7"
1637,1876 Daniel Dal-Ben,"4,8"
1638,Oettinger's Restaurant,"4,8"
1639,Hegel Eins,"4,6"
1640,La Bécasse,"4,9"
1641,Genießer Stube - Daniel Raub,"4,6"
1642,Bachofer,"4,8"
1643,Pottkind,"4,7"
1644,Philipp,"4,8"
1645,Huberwirt,"4,8"
1646,Wielandshöhe,"4,5"
1647,Schwarz Gourmet,"4,5"
1648,Merkles Restaurant,"4,7"
1649,Burg Nideggen - Brockel Schlimbach,"4,4"
1650,Gut Lärchenhof,"4,6"
1651,Haus Stemberg,"4,8"
1652,Haubentaucher,"4,6"
1653,Storstad,"4,7"
1654,Michaels Leitenberg,"4,5"
1655,freustil,"4,8"
1656,Gourmet-Restaurant Der Butt,"4,7"
1657,Hofstube Deimann,"4,9"
1658,Koch und Kellner,"4,0"
1659,Buchner Welchenberg 1658,"4,5"
1660,Rüssel's Landhaus,"4,6"
1661,Gasthof zum Bad,"4,6"
1662,[KOOK] 36,"4,8"
1663,Genuss-Apotheke,"4,9"
1664,kochZIMMER in der Gaststätte zur Ratswaage,"4,8"
1665,Balthasar,"4,8"
1666,Wullenwever,"4,8"
1667,Showroom,"4,6"
1668,ESS ATELIER STRAUSS,"4,8"
1669,Silberdistel,"4,8"
1670,Stadtpfeiffer,"4,9"
1671,La Société,"4,7"
1672,Christian's Restaurant - Gasthof Grainer,"4,6"
1673,Wirtshaus Meyers Keller,"4,7"
